Company,Name,Kill,Id,CommandLine
Adobe Inc.,Creative Cloud Helper,Y,20740,"""C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud Helper.exe"" --remoteCoreExt=NGLWrapper --remoteHelper=CCH_NGLW"
,csrss,,796,
,csrss,,972,
Creative Technology Ltd,CTAudTsk,,21528,"""C:\Program Files (x86)\Creative\Shared Files\Creative Audio Task\CTAudTsk.exe"" "
,ctfmon,,13268,
Creative Technology Ltd,CTHIDTsk,,22012,"""C:\Program Files (x86)\Creative\Shared Files\Creative HID Task\CTHIDTsk.exe"" "
,dasHost,,6112,
,dirmngr,,5504,
Discord Inc.,Discord,,5860,"""C:\Users\brian\AppData\Local\Discord\app-1.0.9003\Discord.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --field-trial-handle=1808,1082878912730948098,7612638754880320008,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=en-GB --app-user-model-id=com.squirrel.Discord.Discord --app-path=""C:\Users\brian\AppData\Local\Discord\app-1.0.9003\resources\app.asar"" --no-sandbox --no-zygote --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=17 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=2772 /prefetch:1 --enable-node-leakage-in-renderers"
Discord Inc.,Discord,,14048,"""C:\Users\brian\AppData\Local\Discord\app-1.0.9003\Discord.exe"" --start-minimized"
Discord Inc.,Discord,,18540,"C:\Users\brian\AppData\Local\Discord\app-1.0.9003\Discord.exe --type=crashpad-handler --user-data-dir=C:\Users\brian\AppData\Roaming\discord /prefetch:7 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\brian\AppData\Roaming\discord\Crashpad --url=https://sentry.io/api/146342/minidump/?sentry_key=384ce4413de74fe0be270abe03b2b35a ""--annotation=_companyName=Discord Inc."" --annotation=_productName=Discord --annotation=_version=1.0.9003 --annotation=prod=Electron --annotation=ver=13.4.0 --initial-client-data=0x52c,0x530,0x534,0x494,0x538,0x7a28820,0x7a28830,0x7a2883c"
Discord Inc.,Discord,,20852,"""C:\Users\brian\AppData\Local\Discord\app-1.0.9003\Discord.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1808,1082878912730948098,7612638754880320008,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=en-GB --service-sandbox-type=none --mojo-platform-channel-handle=2196 /prefetch:8"
Discord Inc.,Discord,,21184,"""C:\Users\brian\AppData\Local\Discord\app-1.0.9003\Discord.exe"" --type=gpu-process --field-trial-handle=1808,1082878912730948098,7612638754880320008,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --gpu-preferences=SAAAAAAAAADgAAAwAAAAAAAAAAAAAAAAAABgAAAAAAAoAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB4AAAAAAAAAHgAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAAIAAAAAAAAAAgAAAAAAAAA --mojo-platform-channel-handle=1848 /prefetch:2"
Discord Inc.,Discord,,23092,"""C:\Users\brian\AppData\Local\Discord\app-1.0.9003\Discord.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=1808,1082878912730948098,7612638754880320008,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=en-GB --service-sandbox-type=audio --mojo-platform-channel-handle=3880 /prefetch:8"
Microsoft Corporation,dllhost,,3992,C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}
,dllhost,,10376,
Microsoft Corporation,dllhost,,14368,C:\WINDOWS\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}
,dllhost,,53032,
,dwm,,1324,
,EncoderServer,,48860,
,EpicGamesLauncher,,22244,"""C:\Program Files (x86)\Epic Games\Launcher\Portal\Binaries\Win64\EpicGamesLauncher.exe"" com.epicgames.launcher://apps/3622b6ddc5c849b1826085d5fe492eae%3A3d61e00e299c4c0d914c7e63d81e7f70%3Ab5e42b0dc2f544a5bbb4080a433b8b71?action=launch&silent=true"
,EpicWebHelper,,4920,"""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/Win64/EpicWebHelper.exe"" --type=renderer --no-sandbox --log-file=C:/Users/brian/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --field-trial-handle=2212,11285325252721156929,15675318275208818172,131072 --enable-features=CastMediaRouteProvider --disable-features=OutOfBlinkCors --lang=en-US --locales-dir-path=""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources/locales"" --log-file=C:/Users/brian/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --log-severity=warning --product-version=""EpicGamesLauncher/12.2.19-17594624+++Portal+Release-Live UnrealEngine/4.23.0-17594624+++Portal+Release-Live Chrome/84.0.4147.38"" --resources-dir-path=""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources"" --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=8 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=4304 /prefetch:1"
,EpicWebHelper,,8520,"""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/Win64/EpicWebHelper.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=2212,11285325252721156929,15675318275208818172,131072 --enable-features=CastMediaRouteProvider --disable-features=OutOfBlinkCors --lang=en-US --service-sandbox-type=network --no-sandbox --locales-dir-path=""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources/locales"" --log-file=C:/Users/brian/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --log-severity=warning --product-version=""EpicGamesLauncher/12.2.19-17594624+++Portal+Release-Live UnrealEngine/4.23.0-17594624+++Portal+Release-Live Chrome/84.0.4147.38"" --resources-dir-path=""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources"" --lang=en --log-file=C:/Users/brian/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --mojo-platform-channel-handle=3660 /prefetch:8"
,EpicWebHelper,,22668,"""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/Win64/EpicWebHelper.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=2212,11285325252721156929,15675318275208818172,131072 --enable-features=CastMediaRouteProvider --disable-features=OutOfBlinkCors --lang=en-US --service-sandbox-type=audio --no-sandbox --locales-dir-path=""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources/locales"" --log-file=C:/Users/brian/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --log-severity=warning --product-version=""EpicGamesLauncher/12.2.19-17594624+++Portal+Release-Live UnrealEngine/4.23.0-17594624+++Portal+Release-Live Chrome/84.0.4147.38"" --resources-dir-path=""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources"" --lang=en --log-file=C:/Users/brian/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --mojo-platform-channel-handle=3352 /prefetch:8"
,EpicWebHelper,,24148,"""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/Win64/EpicWebHelper.exe"" --type=gpu-process --field-trial-handle=2212,11285325252721156929,15675318275208818172,131072 --enable-features=CastMediaRouteProvider --disable-features=OutOfBlinkCors --no-sandbox --locales-dir-path=""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources/locales"" --log-file=C:/Users/brian/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --log-severity=warning --product-version=""EpicGamesLauncher/12.2.19-17594624+++Portal+Release-Live UnrealEngine/4.23.0-17594624+++Portal+Release-Live Chrome/84.0.4147.38"" --resources-dir-path=""C:/Program Files (x86)/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources"" --lang=en --gpu-preferences=MAAAAAAAAADgACAwAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAA= --log-file=C:/Users/brian/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --mojo-platform-channel-handle=2216 /prefetch:2"
,Everything,,5588,
voidtools,Everything,Y,17948,"""C:\Program Files\Everything\Everything.exe"" -startup"
Microsoft Corporation,EXCEL,,47804,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"" "
Microsoft Corporation,explorer,,8888,C:\WINDOWS\Explorer.EXE
Microsoft Corporation,explorer,,52268,"C:\WINDOWS\explorer.exe /factory,{5BD95610-9434-43C2-886C-57852CC8A120} -Embedding"
,extensionCardHal_x86,,720,
Mozilla Corporation,firefox,,5808,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"""
Mozilla Corporation,firefox,,10132,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.23.964859050\441145441"" -childID 9 -isForBrowser -prefsHandle 10436 -prefMapHandle 10432 -prefsLen 8267 -prefMapSize 268213 -jsInit 1608 285716 -parentBuildID 20210922161155 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 10360 1fde8eabb38 tab"
Mozilla Corporation,firefox,,24136,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.2.1740509601\190525182"" -childID 1 -isForBrowser -prefsHandle 2940 -prefMapHandle 2936 -prefsLen 596 -prefMapSize 268213 -jsInit 1608 285716 -parentBuildID 20210922161155 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 2952 1fddd66af38 tab"
Mozilla Corporation,firefox,,34180,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.28.2144748963\1658897813"" -childID 11 -isForBrowser -prefsHandle 7844 -prefMapHandle 5488 -prefsLen 8267 -prefMapSize 268213 -jsInit 1608 285716 -parentBuildID 20210922161155 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 10884 1fddf215138 tab"
Mozilla Corporation,firefox,,35444,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.0.634209030\1582688936"" -parentBuildID 20210922161155 -prefsHandle 1844 -prefMapHandle 1836 -prefsLen 1 -prefMapSize 268213 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 1936 1fdd740bd38 gpu"
Mozilla Corporation,firefox,,41224,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.14.2113442753\82494803"" -childID 5 -isForBrowser -prefsHandle 5440 -prefMapHandle 5924 -prefsLen 6860 -prefMapSize 268213 -jsInit 1608 285716 -parentBuildID 20210922161155 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 5252 1fde74e4338 tab"
Mozilla Corporation,firefox,,46316,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.26.633126821\1364469542"" -childID 10 -isForBrowser -prefsHandle 10656 -prefMapHandle 10660 -prefsLen 8267 -prefMapSize 268213 -jsInit 1608 285716 -parentBuildID 20210922161155 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 9936 1fddd7df738 tab"
Mozilla Corporation,firefox,,46336,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.9.2111394205\1723070780"" -childID 3 -isForBrowser -prefsHandle 8960 -prefMapHandle 7352 -prefsLen 6501 -prefMapSize 268213 -jsInit 1608 285716 -parentBuildID 20210922161155 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 2748 1fddb4c9338 tab"
Mozilla Corporation,firefox,,46828,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.19.1963015882\581610726"" -childID 7 -isForBrowser -prefsHandle 10292 -prefMapHandle 5192 -prefsLen 8267 -prefMapSize 268213 -jsInit 1608 285716 -parentBuildID 20210922161155 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 5832 1fddf4e5d38 tab"
Mozilla Corporation,firefox,,46956,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.6.1579112244\598613504"" -parentBuildID 20210922161155 -prefsHandle 5916 -prefMapHandle 5556 -prefsLen 6459 -prefMapSize 268213 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 5812 1fde7520d38 rdd"
Mozilla Corporation,firefox,,48036,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.4.1150641279\1515095462"" -childID 2 -isForBrowser -prefsHandle 5068 -prefMapHandle 5172 -prefsLen 6415 -prefMapSize 268213 -jsInit 1608 285716 -parentBuildID 20210922161155 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 5188 1fddf4e5338 tab"
Mozilla Corporation,firefox,,48648,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.21.70769072\1522950571"" -childID 8 -isForBrowser -prefsHandle 9972 -prefMapHandle 7080 -prefsLen 8267 -prefMapSize 268213 -jsInit 1608 285716 -parentBuildID 20210922161155 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 2144 1fde0a5b938 tab"
Mozilla Corporation,firefox,,49428,"""C:\Users\brian\AppData\Local\Mozilla Firefox\firefox.exe"" -contentproc --channel=""5808.1.1035775237\561286743"" -parentBuildID 20210922161155 -prefsHandle 2264 -prefMapHandle 2144 -prefsLen 455 -prefMapSize 268213 -appdir ""C:\Users\brian\AppData\Local\Mozilla Firefox\browser"" - 5808 ""\\.\pipe\gecko-crash-server-pipe.5808"" 2336 1fddb5d5538 socket"
,fontdrvhost,,1104,
,fontdrvhost,,1112,
,gamingservices,,8004,
,gamingservicesnet,,7996,
,GoogleCrashHandler,Y,7980,
,GoogleCrashHandler64,Y,9080,
Microsoft Corporation,HxOutlook,Y,18608,"""C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.20436.0_x64__8wekyb3d8bbwe\HxOutlook.exe"" -ServerName:microsoft.windowslive.mail.AppXfbjsbkxvprcgqg6q4c9jfr0pn3kv9x5s.mca"
Microsoft Corporation,HxTsr,,21068,"""C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.20436.0_x64__8wekyb3d8bbwe\HxTsr.exe"" -ServerName:Hx.IPC.Server"
,IAStorDataMgrSvc,,10296,
Intel Corporation,IAStorIcon,,14008,"""C:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorIcon.exe"""
,Idle,,0,
,IPROSetMonitor,,5704,
,jhi_service,,5820,
,kdd,,23388,"""C:\Program Files\WD Desktop App\kdd"" -dataDir ""C:\Users\brian\AppData\Roaming\WDDesktop\Data"" -env prod -logging wdlog -locale en-GB"
Western Digital Corporation,kdd,Y,24272,"""C:\Program Files\WD Desktop App\kdd.exe"" "
Dominik Reichl,KeePass,Y,20276,"""C:\Program Files (x86)\KeePass Password Safe 2\KeePass.exe"" "
"Logitech, Inc.",KHALMNPR,,16600,KHALMNPR.EXE /API
,lghub,,6908,
"Logitech, Inc.",lghub,,16136,"""C:\Program Files\LGHUB\lghub.exe"" --type=gpu-process --field-trial-handle=1904,10080454328640677343,16889303569012744927,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --gpu-preferences=SAAAAAAAAADgAAAwAAAAAAAAAAAAAAAAAABgAAAAAAAoAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB4AAAAAAAAAHgAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAAIAAAAAAAAAAgAAAAAAAAA --mojo-platform-channel-handle=1908 /prefetch:2"
,lghub,,24700,
,lghub,,33640,
,lghub_agent,,30016,
,lghub_updater,,29460,
,LightingService,,5796,
,LMS,,10340,
Microsoft Corporation,LockApp,,37296,"""C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca"
,logi_crashpad_handler,,12968,
,logi_crashpad_handler,,36516,
,LsaIso,,748,
,lsass,,744,
,Memory Compression,,3164,
Microsoft Corporation,Microsoft.Mashup.Container.NetFX40,,39788,"""C:\Program Files\Microsoft Office\root\Office16\ADDINS\Microsoft Power Query for Excel Integrated\bin\Microsoft.Mashup.Container.NetFX40.exe"" 8372 11036 94b046e9-892c-44ee-a51e-ddf2daebb1ab 1"
Microsoft Corporation,Microsoft.Photos,Y,13340,"""C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21090.10007.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe"" -ServerName:App.AppXzst44mncqdg84v7sv6p7yznqwssy6f7f.mca"
,mmc,,50556,
,MoUsoCoreWorker,,20040,
,MpCopyAccelerator,,22144,
,MSIAfterburner,,47864,
,MsMpEng,,5540,
,muachost,,10140,
,NisSrv,,9972,
Node.js,node,Y,19076,"""C:\Program Files\Adobe\Adobe Creative Cloud Experience\libs\node.exe"" ""C:\Program Files\Adobe\Adobe Creative Cloud Experience\js\main.js"""
Node.js,node,Y,23884,"""C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\libs\node.exe"" ""C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\js\server.js"""
,nordvpn-service,,4432,
Don HO don.h@free.fr,notepad++,,52488,"""C:\Program Files\Notepad++\notepad++.exe""  ""H:\Code\github\BackgroundAssassin\services.txt"""
,NvBroadcast.Container,,5876,
,NvBroadcast.Container,,6820,
,nvcontainer,,4000,"""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -f ""C:\ProgramData\NVIDIA\NvContainerUser%dSPUser.log"" -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\SPUser"" -r -l 3 -p 30000 -st ""C:\Program Files\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll"" -c"
,nvcontainer,,5888,
,nvcontainer,,11216,"""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -f ""C:\ProgramData\NVIDIA\NvContainerUser%d.log"" -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\User"" -r -l 3 -p 30000 -st ""C:\Program Files\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll"" -c"
,NVDisplay.Container,,2656,
,NVDisplay.Container,,2992,
,NVIDIA Broadcast,,14676,"""C:\Program Files\NVIDIA Corporation\NVIDIA Broadcast\NvVirtualCamera\NVIDIA Broadcast.exe"""
NVIDIA Corporation,NVIDIA Broadcast UI,,10384,"""C:\Program Files\NVIDIA Corporation\NVIDIA Broadcast\NVIDIA Broadcast UI.exe"" -minimized"
NVIDIA Corporation,NVIDIA Share,,16088,"""C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe"""
NVIDIA Corporation,NVIDIA Share,,16376,"""C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe"" --type=gpu-process --field-trial-handle=2164,8599657847522199012,2257379600213555480,131072 --disable-features=VizDisplayCompositor --no-sandbox --log-file=""C:\Users\brian\AppData\Local\NVIDIA Corporation\NVIDIA Share\debug.log"" --lang=en-US --gpu-preferences=KAAAAAAAAACACwAAAQAAAAAAAAAAAGAAAAAAAAEAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAFAAAAEAAAAAAAAAAAAAAABgAAABAAAAAAAAAAAQAAAAUAAAAQAAAAAAAAAAEAAAAGAAAA --log-file=""C:\Users\brian\AppData\Local\NVIDIA Corporation\NVIDIA Share\debug.log"" --service-request-channel-token=13845756369945503927 --mojo-platform-channel-handle=2184 /prefetch:2"
NVIDIA Corporation,NVIDIA Share,,16400,"""C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe"" --type=renderer --no-sandbox --autoplay-policy=no-user-gesture-required --log-file=""C:\Users\brian\AppData\Local\NVIDIA Corporation\NVIDIA Share\debug.log"" --field-trial-handle=2164,8599657847522199012,2257379600213555480,131072 --disable-features=VizDisplayCompositor --service-pipe-token=1333213955055382397 --lang=en-US --log-file=""C:\Users\brian\AppData\Local\NVIDIA Corporation\NVIDIA Share\debug.log"" --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --service-request-channel-token=1333213955055382397 --renderer-client-id=3 --mojo-platform-channel-handle=2744 /prefetch:1"
Node.js,NVIDIA Web Helper,,11376,"""C:\Program Files (x86)\NVIDIA Corporation\NvNode\NVIDIA Web Helper.exe"" index.js"
,nvsphelper64,,16196,
,OfficeClickToRun,,5516,
Microsoft Corporation,OneDrive,Y,18048,"""C:\Program Files\Microsoft OneDrive\OneDrive.exe"" /background"
